INCIDENT_REPORTED_DATE,CATEGORY,ADDRESS,INCIDENT_ID,Latitude,Longitude
4/6/2005,GRAND THEFT AUTO,"16900 S FIGUEROA ST, CARSON, CA",605-04333-1610,33.8775423437,-118.28235044573
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"500 N TOWNSEND AVE, EAST LOS ANGELES, CA  90022",405-03921-0275,34.03944406869,-118.188163942606
4/6/2005,LARCENY THEFT,"6700 PASSONS BLVD, PICO RIVERA, CA",005-03135-1515,33.98122701048,-118.088426039595
4/6/2005,NON-AGGRAVATED ASSAULTS,"1400 FAIRLEE AVE, DUARTE, CA",505-05048-0542,34.137175325401,-117.958213806155
4/6/2005,JUVENILE NON-CRIMINAL,,105-03136-1578,18.776095736,100.773934968
4/6/2005,NARCOTICS,"9200 ALONDRA BLVD, BELLFLOWER, CA  90706",405-09262-1334,33.889227300284,-118.138226059253
4/6/2005,PERSONS MISSING,"1700 E DIMONDALE DR, CARSON, CA  90746",005-04334-1616,33.848672012716,-118.240711687341
4/6/2005,PERSONS MISSING,"1900 E DENWALL DR, CARSON, CA  90746",005-04335-1616,33.847636060268,-118.23484402434
4/6/2005,FORGERY,"17300 VALLEY BLVD, LA PUENTE, CA",405-05476-1435,34.009136191323,-117.926288213507
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"18800 AGUIRO, ROWLAND HEIGHTS, CA  91748",105-02680-2932,33.974405845622,-117.894438334467
4/6/2005,BURGLARY,"400 W BENNETT ST, COMPTON, CA  90221",405-05107-2836,33.882143988219,-118.227991013894
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"600 S ATLANTIC BLVD, EAST LOS ANGELES, CA  90022",505-03923-0285,34.024600006651,-118.155779996028
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"11600 S COLIMA RD, WHITTIER, CA  90604",405-00049-2008,33.924920421489,-118.024526656016
4/6/2005,LARCENY THEFT,"5900 SOUTH ST, LAKEWOOD, CA  90711",405-09263-1321,33.860336492658,-118.134564293137
4/6/2005,VANDALISM,"2200 E AVENUE Q-5, PALMDALE, CA",105-06100-2608,34.58740171651,-118.089607442582
4/6/2005,ACCIDENTS TRAFFIC/VEH./BOAT,"INDUSTRY CIR AND ARTESIA BLVD, LA MIRADA, CA",105-06592-0466,33.873346216918,-118.025249539886
4/6/2005,LARCENY THEFT,"45100 TREVOR AVE, LANCASTER, CA",105-06955-1132,34.702398066475,-118.134291165993
4/6/2005,SEX OFFENSES FELONIES,"6700 S PASSONS BLVD, PICO RIVERA, CA  90660",405-03137-1514,33.98122701048,-118.088426039595
